Commit: updated dependency list
10/14/2019 7:31:36

Grid size      Success rate      Average runtime
4x4            1.000             0.001          
5x5            1.000             0.004          
6x6            0.933             0.016          
7x7            0.933             0.031          
8x8            1.000             0.049          
9x9            1.000             0.090          
10x10          0.900             0.144          
11x11          0.967             0.206          
12x12          0.933             0.313          
13x13          0.933             0.452          
14x14          0.867             0.631          
15x15          0.933             0.950          

Performed 30 tests per size
