Commit ID: 36204c50f67db2bfecc1ff8812d38a2fb1f13a9a
Commit branch: master
"updated main execution script to function with new Grid attribute"
10/15/2019 16:58:17

Grid size      Success rate      Average runtime
4x4            0.933             0.006          
5x5            0.967             0.007          
6x6            1.000             0.010          
7x7            0.967             0.024          
8x8            1.000             0.043          
9x9            1.000             0.075          
10x10          0.967             0.119          
11x11          0.933             0.204          
12x12          0.900             0.298          
13x13          0.933             0.441          
14x14          0.967             0.647          
15x15          0.900             0.953          

Performed 30 tests per size
