Commit ID: 84e59130a44445ced0a8b3caf18fbc95960c2ddd
Commit branch: only_sample_paths
"increased maximum grid dimensions to 20x20 in performance script"
10/16/2019 19:19:50

Grid size      Success rate      Average runtime
4x4            1.000             0.001          
5x5            1.000             0.002          
6x6            1.000             0.003          
7x7            1.000             0.005          
8x8            1.000             0.011          
9x9            1.000             0.015          
10x10          0.933             0.029          
11x11          0.967             0.033          
12x12          0.933             0.045          
13x13          0.967             0.061          
14x14          0.967             0.078          
15x15          0.833             0.104          
16x16          0.967             0.118          
17x17          0.967             0.153          
18x18          0.933             0.218          
19x19          0.900             0.265          
20x20          0.900             0.324          

Performed 30 tests per size
